Soil_type,Temperature,Humidity,ph,Rainfall,District,Zone,Crop,Label,Suitability
Red loam,29.8,79.0,5.3,1439,Ampara,Dry,Tea,0,Not Suitable
Sandy loam,28.2,63.1,5.6,1035,Ampara,Dry,Tea,0,Not Suitable
Sandy regosol,31.5,74.2,5.8,1012,Ampara,Dry,Tea,0,Not Suitable
Reddish Brown Earth,33.2,64.2,4.7,1109,Ampara,Dry,Tea,0,Not Suitable
Reddish Brown Earth,29.3,70.5,4.9,1259,Ampara,Dry,Tea,0,Not Suitable
Loam,31.6,62.8,5.0,1175,Ampara,Dry,Tea,0,Not Suitable
Red loam,30.4,75.7,5.2,1120,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,31.4,60.9,4.7,1365,Ampara,Dry,Tea,0,Not Suitable
Red loam,27.5,79.0,5.6,1579,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,29.3,62.0,5.1,1411,Ampara,Dry,Tea,0,Not Suitable
Loamy soils,27.9,69.9,5.7,1021,Ampara,Dry,Tea,0,Not Suitable
Sandy loam,28.9,73.3,5.2,1187,Ampara,Dry,Tea,0,Not Suitable
Sandy loam,31.1,63.7,5.5,1582,Ampara,Dry,Tea,0,Not Suitable
Red loam,34.0,77.9,5.7,1359,Ampara,Dry,Tea,0,Not Suitable
Reddish Brown Earth,27.7,63.9,4.9,1027,Ampara,Dry,Tea,0,Not Suitable
Reddish Brown Earth,29.9,65.4,5.0,1497,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,29.1,70.9,5.5,1085,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,27.6,79.7,4.8,1463,Ampara,Dry,Tea,0,Not Suitable
Sandy loam,27.0,76.3,5.4,1424,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,32.8,61.5,4.7,1215,Ampara,Dry,Tea,0,Not Suitable
Reddish Brown Earth,33.5,72.5,4.6,1199,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Podzolic soils,29.3,66.5,5.3,1438,Ampara,Dry,Tea,0,Not Suitable
Loamy soils,33.7,69.4,5.4,1072,Ampara,Dry,Tea,0,Not Suitable
Reddish Brown Earth,32.7,71.2,5.1,1463,Ampara,Dry,Tea,0,Not Suitable
Clay loam,30.9,68.6,4.6,1015,Ampara,Dry,Tea,0,Not Suitable
Red-Yellow Latosols,27.2,72.7,5.2,1189,Ampara,Dry,Tea,0,Not Suitable
Sandy regosol,33.8,65.0,5.5,1246,Ampara,Dry,Tea,0,Not Suitable
Sandy loam,28.7,61.5,4.7,1174,Ampara,Dry,Tea,0,Not Suitable
Loam,34.0,76.2,5.6,1380,Ampara,Dry,Tea,0,Not Suitable
Loamy soils,33.0,63.7,5.2,1536,Ampara,Dry,Tea,0,Not Suitable
Loam,33.1,77.9,5.0,1191,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,28.7,68.5,6.7,1491,Ampara,Dry,Cinnamon,0,Not Suitable
Red loam,27.1,70.2,5.3,1250,Ampara,Dry,Cinnamon,0,Not Suitable
Red loam,27.9,66.8,5.5,1566,Ampara,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,30.9,74.1,6.9,1218,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,34.2,65.0,5.5,1298,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy loam,29.1,60.7,5.9,1366,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy loam,27.4,65.6,5.3,1545,Ampara,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,28.1,69.8,5.3,1591,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy loam,32.0,75.2,6.4,1143,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,29.8,72.6,6.0,1380,Ampara,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,27.7,76.7,5.2,1192,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,27.3,71.8,4.8,1407,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy regosol,30.8,64.5,5.2,1387,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,32.2,67.7,5.1,1562,Ampara,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,29.6,62.3,6.7,1555,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy loam,28.9,73.2,6.0,1490,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,31.0,64.8,6.8,1056,Ampara,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,33.8,72.7,5.6,1203,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy regosol,32.4,77.9,6.5,1532,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy loam,31.8,61.7,6.8,1097,Ampara,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,31.5,60.2,6.3,1061,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy loam,27.0,63.2,6.3,1329,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy regosol,31.9,64.5,5.3,1427,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,29.4,74.9,6.7,1390,Ampara,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,31.9,71.4,5.6,1056,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy Clay loam,29.0,64.9,5.7,1584,Ampara,Dry,Cinnamon,0,Not Suitable
Sandy regosol,33.7,72.6,5.9,1477,Ampara,Dry,Cinnamon,0,Not Suitable
Red-Yellow Latosols,31.3,69.9,6.4,1117,Ampara,Dry,Cinnamon,0,Not Suitable
Loam,29.1,60.5,5.2,1387,Ampara,Dry,Cinnamon,0,Not Suitable
Reddish Brown Earth,34.1,79.1,6.0,1549,Ampara,Dry,Pepper,0,Not Suitable
Red loam,27.1,78.6,6.8,1257,Ampara,Dry,Pepper,0,Not Suitable
Sandy loam,34.2,77.1,6.0,1177,Ampara,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,33.4,66.3,6.2,1102,Ampara,Dry,Pepper,0,Not Suitable
Sandy regosol,34.0,73.9,5.6,1342,Ampara,Dry,Pepper,0,Not Suitable
Red loam,31.6,79.8,6.2,1084,Ampara,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,33.6,74.8,6.4,1418,Ampara,Dry,Pepper,0,Not Suitable
Red loam,29.7,65.9,6.6,1486,Ampara,Dry,Pepper,0,Not Suitable
Loamy soil,33.5,78.3,6.2,1307,Ampara,Dry,Pepper,0,Not Suitable
Sandy regosol,33.0,73.0,6.5,1421,Ampara,Dry,Pepper,0,Not Suitable
Sandy Clay loam,33.7,66.8,5.6,1225,Ampara,Dry,Pepper,0,Not Suitable
Clay loam,31.3,60.7,6.2,1279,Ampara,Dry,Pepper,0,Not Suitable
Loam,29.1,71.8,5.5,1018,Ampara,Dry,Pepper,0,Not Suitable
Clay loam,33.2,67.2,6.2,1076,Ampara,Dry,Pepper,0,Not Suitable
Clay loam,32.8,64.3,5.6,1374,Ampara,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,27.4,70.6,6.3,1324,Ampara,Dry,Pepper,0,Not Suitable
Sandy regosol,32.4,79.5,5.9,1310,Ampara,Dry,Pepper,0,Not Suitable
Red loam,33.0,65.4,5.6,1263,Ampara,Dry,Pepper,0,Not Suitable
Loam,27.2,79.3,6.4,1502,Ampara,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,30.1,63.5,5.8,1094,Ampara,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,31.1,74.3,5.9,1396,Ampara,Dry,Pepper,0,Not Suitable
Loam,34.2,74.8,6.3,1333,Ampara,Dry,Pepper,0,Not Suitable
Sandy Clay loam,30.1,65.0,6.5,1214,Ampara,Dry,Pepper,0,Not Suitable
Loamy soil,27.1,62.3,5.6,1028,Ampara,Dry,Pepper,0,Not Suitable
Sandy regosol,33.4,74.1,5.6,1285,Ampara,Dry,Pepper,0,Not Suitable
Red-Yellow Latosols,30.7,69.5,6.1,1104,Ampara,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,30.0,72.3,5.6,1381,Ampara,Dry,Pepper,0,Not Suitable
Clay loam,29.8,72.5,6.6,1302,Ampara,Dry,Pepper,0,Not Suitable
Sandy loam,31.9,63.3,6.3,1042,Ampara,Dry,Pepper,0,Not Suitable
Reddish Brown Earth,27.2,71.7,6.2,1564,Ampara,Dry,Pepper,0,Not Suitable
Sandy loam,29.9,72.9,6.3,1275,Ampara,Dry,Areca-nut,0,Not Suitable
Clay loam,34.1,67.7,6.9,1577,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soil,28.5,61.4,5.5,1060,Ampara,Dry,Areca-nut,0,Not Suitable
Sandy regosol,27.7,73.7,6.0,1043,Ampara,Dry,Areca-nut,0,Not Suitable
Red loam,33.3,60.5,5.9,1489,Ampara,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,27.9,73.9,6.8,1377,Ampara,Dry,Areca-nut,0,Not Suitable
Clay loam,32.5,76.1,5.8,1169,Ampara,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,32.6,76.1,6.1,1594,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soils,29.8,75.5,6.9,1204,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soil,33.4,68.6,6.6,1451,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soils,27.8,78.1,6.7,1303,Ampara,Dry,Areca-nut,0,Not Suitable
Loam,29.4,77.9,5.5,1234,Ampara,Dry,Areca-nut,0,Not Suitable
Sandy regosol,33.8,61.8,6.9,1192,Ampara,Dry,Areca-nut,0,Not Suitable
Loam,34.1,71.5,6.2,1379,Ampara,Dry,Areca-nut,0,Not Suitable
Reddish Brown Earth,29.2,66.6,6.6,1404,Ampara,Dry,Areca-nut,0,Not Suitable
Sandy regosol,32.9,75.8,6.2,1055,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soil,27.4,71.0,6.8,1265,Ampara,Dry,Areca-nut,0,Not Suitable
Loamy soil,29.6,62.3,6.6,1086,Ampara,Dry,Areca-nut,0,Not Suitable
Clay loam,31.6,62.0,6.6,1050,Ampara,Dry,Areca-nut,0,Not Suitable
